112.124.140.210_19.19.19.2,27777,0,0,0,3058,27252,58902,40770,0,67968,60016,36421,38873,42082,3058,24164,7536,63921,0,3058,30282,2948,116006,24110,166562,78334,211469,187000,0,180430,
115.124.75.126_19.19.19.24,5351,2403,9984,1335,1780,5086,5078,5186,3898,5176,0,2580,5208,1780,1780,1780,1335,890,445,1780,890,445,1780,7115,0,6396,8150,1780,1780,1780,
123.255.202.74_19.19.19.23,4114,6938,22527,18887,66646,128714,1514,28766,119657,12104,1367,12342,6850,243636,33710,0,0,0,106866,10598,554640,204046,15140,390020,0,25812,437522,48204,58696,51052,
129.69.8.112_19.19.19.14,18084,20722,0,0,374648,154769,1514,934096,295230,266464,894774,33308,316426,697954,211960,16654,4542,6056,369416,684328,56018,1123388,18168,1347460,18168,1616952,22710,866008,10598,429976,
130.225.254.116_19.19.19.6,22617,16630,250588,87059,865486,35376,160666,722260,1076020,60434,1543278,17688,692780,23584,1174778,14740,5896,0,13266,1093708,0,0,458414,1218998,0,762058,81070,655930,1121714,81070,
134.157.176.20_19.19.19.10,12519,9108,10820,0,0,0,0,0,0,0,0,0,0,0,43190,170155,34780,0,25723,0,5896,0,0,0,126764,49524,76692,37092,24410,17008,
137.189.4.14_19.19.19.18,7093,9404,10202,0,0,0,0,0,0,0,0,16522,32146,1514,336668,36156,95829,78120,90192,573632,16570,247439,7570,0,723692,140253,81336,21458,231137,1514,
137.226.34.46_19.19.19.12,9694,33023,540132,1352,1502,448272,1661202,122342,292298,645612,4422,759110,807752,4422,443674,4422,577808,543906,16214,66330,624976,25058,172458,440726,1474,703098,963996,26532,968418,958100,
141.76.1.200_19.19.19.15,9735,14893,541853,660371,1514,62074,392126,1088566,1483720,902344,696440,478424,542012,560180,4542,105980,139288,9084,1635120,7570,9084,978044,342606,864494,2289168,0,15140,1191518,9084,605600,
147.102.222.211_19.19.19.17,5101,4047,6178,6120,11772,112,0,0,0,0,0,0,0,0,0,33476,24240,35376,0,0,204351,10318,19620,219849,4672,30168,245634,382242,10318,794781,
147.229.3.144_19.19.19.3,12502,12820,0,0,0,0,0,167209,61098,298652,429390,543122,484946,473154,10318,375870,4422,0,0,10318,1006742,1165934,271216,11792,44220,1401774,1043592,57486,1335444,8844,
147.52.159.12_19.19.19.16,5084,6735,20768,11491,51246,64716,172651,3927,2356,102562,4422,148632,247632,4422,592918,717838,673823,364078,23584,1290260,831864,23584,1500302,48974,884400,1347596,39798,1574232,1210154,22110,
148.6.0.24_19.19.19.19,31555,308018,0,167018,523046,1624932,1514,39364,283118,626796,897802,18168,1514,1159724,59046,257380,405752,9084,431490,9084,2157450,19682,719150,0,0,847840,1506058,10598,346706,0,
193.1.193.64_19.19.19.25,8014,2440,0,20937,552,54,19243,82658,1514,285497,233422,4542,498106,1146086,222260,25738,4542,6056,416350,0,369416,27252,118092,602572,500856,887120,0,16654,48448,295230,
193.166.3.5_19.19.19.7,8080,8187,100472,276822,4025,299634,420897,455612,221100,1988426,0,39798,0,0,19689,0,0,0,0,0,706046,961048,673618,1310386,243210,449570,507056,549802,229944,272690,
193.190.67.98_19.19.19.1,21652,49383,308823,35492,13948,1860,1071,768,73138,113214,0,20636,0,0,0,306592,173140,92862,485748,64856,961382,641190,790064,129712,1204258,337534,0,692459,19162,0,
193.50.27.70_19.19.19.9,6754,8985,13852,54102,259504,92862,178287,4888,1662,200954,77054,36850,0,0,327956,37156,461362,716364,746486,737000,78122,787116,742896,1319230,1379664,144452,61908,425986,150348,440726,
193.6.176.62_19.19.19.20,7675,7707,11058,322668,7150,1198874,269492,30280,1514,1000754,0,225586,573806,84784,482966,161998,210446,10598,806962,6056,1514,940194,200454,717636,1771380,37850,1159724,21196,796364,3028,
194.158.119.190_19.19.19.8,9471,124365,399708,1599028,391970,2075392,2769646,3011382,0,61908,92862,987580,729630,101706,14740,566016,492316,57486,0,5896,89914,247632,91388,825440,0,1090760,201939,5770,5969,4368,
194.19.194.51_19.19.19.5,8789,25341,360114,1313158,3771212,3277728,1615504,255002,1944206,344916,1049488,0,86966,734052,1096864,4260,4833,3743,6234,4944,4156,11157,10746,3300,5662,4666,11728,11704,6502,8784,
195.228.252.133_19.19.19.21,7799,13518,288111,76913,992748,165292,470854,932384,274034,319454,704010,764570,195306,161998,4542,290688,0,383042,1683568,825130,935652,25738,2544904,13626,772140,457228,1291442,667674,507190,24881,
202.3.245.121_19.19.19.11,13537,11090,0,70115,407318,20836,52554,18641,4542,828280,773754,472368,1514,928082,291444,307342,451172,9084,30280,696440,240066,10598,557271,1009838,21196,1123388,9084,1141556,63588,448144,
212.201.68.60_19.19.19.13,7980,26133,363558,5006,36253,33895,0,0,263436,258894,251324,634366,1056772,728234,4542,1093108,0,27252,13626,1547308,136260,559085,22710,1432244,3028,750944,193792,320968,84784,357304,
212.30.230.86_19.19.19.22,7578,7064,10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20614,6056,1514,294602,16654,554379,1337268,6056,0,0,9084,765110,
46.30.211.12_19.19.19.4,15237,26417,327254,339300,4243,2654,581210,0,710468,481998,0,20636,29480,1014112,585178,39798,675092,1129084,0,293326,0,0,490842,1106974,795960,137082,2443892,58960,1662672,0,
