117.120.2.17_19.19.19.33,49502,7370,0,0,8844,0,185680,234512,131914,70752,57486,78122,76648,53064,53064,79596,53064,76648,54538,76648,53064,79596,53064,53064,79596,50116,51590,79596,53064,79596,53064,79596,51590,79596,50116,53064,79596,53064,51590,79596,76648,53064,53064,79596,51590,79596,53064,53064,79596,78122,51590,51590,79596,53064,53064,79596,53064,76648,51590,79596,53064,79596,53064,51590,76648,51590,58960,75174,79596,51590,51590,78122,53064,70752,58960,78122,45694,72226,58960,53064,79596,73700,57486,50116,79596,53064,53064,79596,51590,78122,53064,78122,53064,79596,53064,51590,79596,53064,53064,78122,78122,53064,51590,79596,53064,79596,51590,51590,79596,78122,53064,53064,78122,51590,53064,78122,53064,79596,53064,78122,53064,79596,53064,53064,76648,53064,51590,79596,79596,53064,53064,76648,53064,78122,53064,53064,79596,53064,76648,53064,78122,53064,53064,79596,53064,78122,51590,78122,53064,79596,53064,53064,76648,51590,53064,79596,79596,53064,51590,78122,53064,78122,53064,53064,78122,78122,53064,51590,79596,53064,53064,64856,19162,65112,122342,79596,54538,64856,64856,50116,79596,53064,53064,79596,53064,72226,58960,76648,53064,75174,57486,53064,78122,53064,53064,79596,78122,51590,53064,78122,53064,79596,53064,51590,79596,76648,53064,53064,79596,53064,53064,79596,51590,79596,50116,79596,53064,79596,53064,51590,79596,53064,51590,78122,79596,53064,51590,79596,53064,78122,51590,53064,79596,78122,26532,78122,79596,51590,53064,79596,53064,76648,53064,78122,53064,79596,53064,53064,79596,51590,51590,78122,53064,79596,53064,78122,51590,78122,53064,53064,79596,78122,26532,78122,78122,53064,53064,79596,51590,78122,51590,79596,53064,79596,51590,51590,78122,53064,53064,79596,78122,53064,51590,78122,53064,79596,53064,51590,78122,78122,53064,53064,79596,53064,50116,78122,53064,79596,53064,53064,
122.152.116.24_19.19.19.20,31840,8844,0,0,81373,253212,75174,60434,47168,79596,75174,53064,53064,78122,51590,79596,50116,76648,53064,60434,69278,78122,53064,78122,53064,51590,79596,53064,53064,78122,13266,10318,174784,78122,64856,47168,57486,70752,78122,53064,33902,0,175406,50116,51590,69278,72226,78122,51590,53064,73700,82544,50116,50116,73700,82544,22110,79596,76648,50116,48642,78122,78122,51590,51590,76648,78122,51590,54538,78122,50116,76648,53064,67804,76648,53064,51590,79596,53064,79596,53064,53064,75174,78122,51590,53064,76648,53064,53064,79596,53064,78122,53064,79596,53064,79596,53064,51590,78122,78122,26532,79596,79596,51590,53064,78122,48642,78122,53064,76648,53064,78122,51590,75174,51590,78122,51590,53064,78122,78122,53064,51590,78122,53064,53064,78122,51590,75174,50116,79596,53064,79596,50116,79596,45694,75174,53064,78122,53064,78122,53064,51590,79596,53064,53064,79596,78122,67804,48642,53064,79596,76648,25058,79596,79596,51590,53064,76648,53064,79596,53064,54538,17688,0,207045,35376,0,144452,57486,82544,19162,58960,104654,69278,79596,53064,48642,73700,57486,75174,53064,53064,76648,85492,53064,45694,78122,53064,50116,75174,78122,73700,51590,53064,79596,51590,51590,78122,76648,53064,53064,78122,51590,79596,53064,53064,78122,78122,26532,79596,76648,53064,51590,76648,79596,51590,51590,78122,50116,78122,53064,76648,50116,67804,51590,78122,76648,51590,50116,79596,53064,78122,51590,78122,51590,78122,53064,53064,79596,53064,53064,79596,53064,78122,53064,79596,53064,78122,51590,50116,79596,79596,51590,50116,78122,53064,51590,76648,79596,48642,50116,79596,78122,51590,51590,78122,53064,79596,51590,53064,79596,78122,33902,16304,129146,78122,67804,69278,47168,67804,64856,54538,75174,53064,53064,78122,76648,56012,45694,78122,78122,51590,50116,75174,76648,51590,53064,76648,53064,76648,
130.133.3.130_19.19.19.12,1087,36836,34572,53172,0,0,170308,181616,60434,84018,51590,69278,57486,51590,82544,70752,56012,51590,73700,75174,29480,78122,76648,53064,51590,79596,76648,51590,50116,73700,78122,53064,53064,78122,50116,76648,48642,79596,51590,78122,50116,76648,53064,73700,53064,73700,50116,79596,51590,78122,51590,79596,50116,53064,79596,75174,51590,53064,76648,70752,57486,53064,78122,51590,53064,79596,53064,78122,51590,79596,53064,76648,51590,63382,54538,79596,51590,75174,53064,78122,53064,53064,79596,78122,26532,79596,78122,53064,53064,79596,53064,54538,75174,53064,79596,79596,26532,76648,79596,53064,51590,75174,79596,29480,75174,79596,53064,63382,67804,53064,76648,75174,50116,53064,79596,53064,64856,29480,4422,172458,54538,60434,78122,51590,81070,48642,73700,57486,70752,56012,79596,47168,50116,78122,78122,53064,51590,78122,53064,60434,72226,53064,78122,63382,69278,51590,79596,53064,53064,76648,78122,35376,69278,79596,51590,51590,79596,50116,78122,54538,75174,51590,78122,53064,75174,51590,76648,51590,73700,5896,10318,184492,53064,76648,57486,50116,79596,70752,53064,57486,75174,50116,79596,50116,78122,53064,76648,50116,76648,53064,78122,50116,51590,79596,79596,50116,53064,78122,51590,51590,79596,53064,76648,53064,79596,53064,75174,53064,76648,53064,79596,53064,53064,79596,53064,51590,76648,78122,53064,53064,78122,53064,76648,50116,78122,53064,79596,50116,53064,78122,53064,53064,79596,78122,51590,53064,79596,53064,79596,53064,53064,76648,78122,53064,51590,76648,53064,53064,79596,51590,79596,53064,76648,50116,78122,53064,53064,78122,72226,53064,51590,78122,76648,53064,51590,76648,78122,50116,50116,79596,53064,51590,78122,76648,51590,50116,79596,75174,51590,53064,79596,51590,78122,53064,53064,79596,79596,47168,51590,76648,79596,53064,50116,76648,76648,26532,79596,78122,53064,53064,
130.161.131.20_19.19.19.21,45082,59414,282282,4422,97284,110550,78122,51590,54538,73700,56012,53064,73700,51590,79596,54538,75174,53064,78122,51590,48642,79596,76648,50116,53064,78122,75174,53064,51590,79596,53064,53064,79596,51590,78122,51590,79596,51590,75174,50116,76648,50116,78122,50116,76648,53064,78122,51590,66330,78122,53064,51590,79596,53064,78122,50116,76648,53064,76648,51590,51590,73700,79596,53064,53064,79596,51590,53064,79596,51590,78122,48642,75174,72226,51590,53064,78122,76648,51590,51590,78122,51590,79596,50116,79596,50116,79596,53064,53064,79596,53064,53064,79596,79596,51590,53064,78122,53064,78122,50116,53064,78122,79596,53064,53064,78122,51590,51590,79596,78122,53064,53064,76648,50116,75174,50116,75174,76648,51590,53064,78122,50116,76648,42746,78122,79596,51590,53064,73700,53064,78122,51590,78122,51590,79596,51590,75174,53064,79596,53064,53064,79596,53064,51590,79596,51590,79596,53064,63382,78122,51590,53064,78122,72226,51590,50116,78122,78122,50116,67804,53064,78122,53064,53064,78122,78122,51590,48642,54538,29480,100621,89914,13266,133187,53064,54538,79596,76648,53064,51590,73700,53064,76648,54538,56012,72226,76648,53064,51590,78122,53064,51590,78122,78122,53064,53064,78122,53064,79596,53064,53064,79596,79596,26532,79596,79596,45694,53064,76648,76648,53064,50116,79596,53064,76648,53064,78122,48642,79596,51590,76648,53064,78122,53064,51590,75174,75174,53064,53064,76648,53064,53064,78122,73700,75174,26532,79596,78122,50116,51590,78122,76648,53064,51590,79596,53064,78122,53064,60434,81070,53064,51590,78122,53064,76648,51590,76648,51590,79596,53064,51590,76648,75174,53064,51590,78122,76648,51590,51590,79596,51590,53064,78122,78122,51590,50116,75174,75174,51590,53064,79596,51590,79596,51590,78122,53064,78122,51590,50116,79596,79596,51590,53064,79596,53064,53064,76648,53064,75174,51590,
130.206.1.5_19.19.19.35,112016,256980,73700,51590,69278,0,103180,58960,114972,53064,53064,76648,56012,79596,54538,76648,51590,72226,53064,53064,17688,140030,60434,53064,79596,50116,72226,57486,57486,72226,67804,60434,54538,82544,45694,51590,76648,76648,70752,54538,50116,79596,53064,53064,79596,75174,53064,51590,75174,53064,64856,66330,79596,51590,56012,69278,75174,51590,53064,76648,51590,79596,67804,61908,53064,78122,53064,51590,76648,78122,53064,51590,78122,67804,53064,50116,76648,79596,51590,53064,76648,76648,26532,78122,76648,53064,53064,79596,53064,79596,54538,75174,53064,78122,51590,50116,79596,79596,26532,76648,79596,51590,51590,79596,76648,51590,50116,78122,51590,76648,53064,76648,51590,79596,51590,53064,78122,79596,53064,51590,75174,73700,48642,50116,76648,76648,53064,53064,79596,75174,51590,53064,73700,53064,53064,76648,76648,53064,53064,79596,53064,78122,53064,53064,79596,76648,53064,51590,78122,53064,51590,78122,76648,53064,50116,78122,53064,79596,51590,76648,51590,76648,51590,76648,50116,75174,53064,28006,83371,110550,56012,64856,48642,84018,51590,75174,53064,78122,56012,53064,72226,73700,50116,50116,79596,75174,53064,53064,75174,78122,26532,76648,78122,51590,53064,76648,79596,50116,66330,51590,78122,53064,75174,50116,78122,76648,51590,51590,78122,53064,51590,79596,51590,78122,53064,79596,50116,78122,51590,53064,79596,76648,51590,53064,78122,51590,51590,79596,79596,50116,53064,76648,53064,79596,53064,53064,78122,79596,53064,53064,75174,51590,53064,79596,78122,53064,53064,79596,72226,50116,48642,78122,76648,50116,53064,76648,53064,78122,51590,76648,53064,75174,50116,76648,53064,76648,50116,53064,78122,78122,53064,51590,78122,64856,51590,79596,50116,79596,51590,53064,79596,53064,51590,78122,79596,50116,51590,75174,79596,53064,51590,76648,53064,78122,51590,78122,51590,78122,35376,81070,
130.225.254.116_19.19.19.8,63438,16504,0,0,75583,269345,73700,57486,45694,76648,64856,8844,113498,84018,64856,66330,50116,78122,67804,60434,53064,78122,53064,51590,72226,76648,51590,51590,78122,51590,2948,132660,78122,50116,78122,38324,78122,72226,48642,79596,51590,75174,56012,44220,78122,78122,58960,61908,47168,79596,53064,53064,79596,78122,51590,51590,78122,53064,78122,51590,78122,51590,75174,53064,76648,48642,72226,50116,78122,53064,78122,51590,53064,76648,75174,51590,53064,79596,76648,51590,50116,78122,75174,50116,53064,78122,78122,25058,79596,78122,53064,53064,78122,53064,79596,51590,78122,61908,56012,53064,78122,53064,78122,53064,53064,76648,76648,50116,51590,75174,76648,47168,75174,50116,79596,50116,75174,51590,76648,53064,75174,50116,76648,44220,76648,75174,53064,51590,78122,51590,76648,50116,78122,53064,72226,51590,78122,50116,75174,47168,79596,76648,51590,51590,79596,51590,76648,50116,79596,50116,78122,53064,53064,79596,79596,26532,78122,79596,53064,50116,78122,51590,79596,53064,78122,51590,50116,75174,76648,51590,76648,51590,53064,91388,51590,53064,76648,51590,76648,53064,76648,50116,79596,51590,76648,53064,76648,53064,53064,73700,75174,53064,53064,75174,78122,53064,53064,75174,78122,26532,76648,79596,53064,51590,79596,53064,79596,51590,51590,78122,78122,51590,50116,76648,79596,53064,50116,76648,78122,48642,50116,78122,53064,70752,51590,78122,78122,48642,51590,75174,79596,53064,50116,78122,53064,51590,76648,79596,53064,47168,72226,76648,50116,53064,78122,79596,51590,53064,76648,50116,79596,50116,79596,48642,76648,53064,75174,51590,75174,53064,78122,51590,78122,51590,53064,78122,78122,48642,50116,75174,79596,51590,51590,76648,76648,50116,51590,69278,76648,50116,76648,53064,76648,53064,53064,75174,78122,48642,51590,76648,76648,50116,75174,48642,78122,50116,75174,53064,76648,48642,
130.236.254.50_19.19.19.37,14312,5896,0,0,44220,0,413472,101706,79596,78122,51590,53064,75174,76648,51590,50116,76648,79596,51590,50116,76648,53064,78122,53064,78122,67804,53064,50116,78122,72226,50116,50116,78122,75174,51590,50116,75174,76648,75174,48642,51590,78122,76648,48642,50116,75174,75174,50116,51590,75174,72226,51590,76648,51590,79596,53064,53064,79596,76648,51590,51590,79596,53064,53064,78122,53064,79596,51590,78122,51590,79596,53064,51590,79596,53064,51590,76648,79596,53064,51590,79596,53064,79596,53064,75174,51590,79596,53064,53064,79596,53064,53064,78122,53064,78122,51590,79596,51590,79596,53064,53064,76648,78122,26532,78122,79596,53064,53064,76648,51590,79596,53064,78122,53064,76648,51590,53064,79596,78122,26532,79596,78122,53064,50116,79596,51590,79596,53064,78122,53064,78122,51590,51590,79596,53064,51590,79596,78122,51590,51590,79596,53064,78122,53064,53064,76648,78122,53064,53064,79596,51590,53064,79596,75174,53064,53064,78122,53064,79596,53064,51590,76648,79596,51590,53064,79596,51590,51590,78122,53064,78122,53064,79596,53064,76648,51590,53064,78122,79596,26532,79596,79596,48642,53064,79596,53064,78122,53064,79596,53064,78122,50116,53064,78122,53064,53064,79596,78122,51590,53064,76648,53064,79596,53064,53064,76648,79596,50116,53064,79596,53064,53064,79596,76648,53064,53064,79596,53064,76648,51590,51590,79596,79596,26532,78122,78122,51590,51590,79596,53064,79596,53064,76648,50116,79596,53064,53064,79596,78122,25058,79596,79596,50116,53064,79596,51590,78122,53064,79596,53064,76648,53064,50116,79596,53064,53064,79596,76648,51590,53064,78122,53064,79596,51590,78122,51590,79596,51590,53064,79596,51590,53064,78122,76648,53064,53064,78122,53064,78122,53064,76648,53064,79596,51590,53064,78122,53064,51590,78122,79596,51590,53064,78122,53064,78122,51590,78122,53064,79596,51590,
130.75.2.22_19.19.19.13,473,244,284,54884,139474,34130,0,0,234893,101815,85492,53064,45694,78122,79596,50116,53064,78122,53064,76648,51590,78122,51590,79596,50116,53064,73700,78122,51590,53064,69278,13266,115262,78122,75174,54538,64856,47168,78122,81070,51590,53064,73700,76648,51590,51590,78122,51590,50116,79596,79596,53064,53064,76648,50116,76648,53064,79596,53064,79596,53064,53064,78122,51590,53064,64856,47168,106128,54538,60434,78122,79596,50116,44220,76648,84018,41272,57486,73700,54538,57486,69278,76648,51590,53064,78122,53064,79596,53064,78122,53064,79596,53064,51590,79596,76648,26532,79596,79596,53064,51590,79596,53064,79596,53064,51590,79596,53064,53064,75174,79596,53064,51590,75174,78122,50116,53064,79596,53064,79596,50116,53064,76648,73700,53064,76648,53064,76648,50116,53064,79596,78122,51590,53064,78122,53064,53064,78122,53064,79596,53064,53064,79596,79596,26532,79596,79596,53064,45694,78122,78122,53064,51590,78122,53064,79596,50116,53064,79596,78122,53064,53064,79596,8844,16528,172458,79596,64856,5896,38324,0,92862,53064,190146,53064,75174,51590,53064,82544,73700,51590,57486,78122,45694,54538,72226,79596,53064,51590,78122,53064,79596,53064,53064,79596,78122,53064,53064,79596,48642,53064,76648,79596,53064,51590,79596,53064,78122,50116,53064,76648,78122,51590,53064,78122,75174,53064,53064,79596,51590,53064,78122,53064,78122,51590,76648,50116,78122,51590,53064,79596,79596,51590,53064,79596,53064,51590,79596,53064,76648,51590,79596,53064,78122,53064,53064,79596,51590,76648,51590,79596,53064,50116,78122,75174,51590,53064,76648,75174,51590,51590,79596,53064,76648,53064,78122,53064,79596,50116,51590,79596,76648,26532,79596,76648,53064,53064,79596,53064,79596,51590,53064,76648,75174,50116,53064,78122,76648,50116,51590,78122,76648,50116,53064,79596,53064,50116,79596,76648,50116,
137.189.4.14_19.19.19.15,1254,972,687,30625,146558,248058,53064,53064,78122,76648,53064,51590,79596,78122,26532,79596,75174,51590,73700,51590,78122,53064,51590,79596,53064,78122,53064,78122,53064,78122,53064,51590,79596,53064,76648,51590,73700,78122,47168,51590,76648,76648,53064,51590,76648,76648,51590,48642,78122,76648,51590,53064,78122,53064,50116,76648,79596,51590,53064,79596,51590,79596,53064,51590,76648,51590,79596,50116,76648,79596,25058,79596,76648,50116,50116,78122,79596,50116,53064,78122,53064,76648,48642,75174,53064,75174,53064,75174,53064,79596,50116,78122,50116,79596,53064,53064,79596,78122,26532,79596,79596,53064,53064,76648,53064,79596,50116,76648,50116,79596,53064,51590,76648,78122,53064,53064,78122,51590,53064,78122,53064,78122,50116,78122,53064,76648,51590,78122,53064,75174,51590,78122,51590,79596,51590,53064,79596,53064,53064,79596,53064,79596,51590,79596,53064,79596,53064,53064,79596,53064,53064,78122,53064,79596,53064,51590,79596,76648,53064,50116,75174,76648,53064,48642,78122,76648,51590,53064,76648,22006,0,178537,81070,53064,48642,79596,57486,70752,53064,82544,53064,70752,60434,45694,79596,72226,54538,51590,79596,51590,53064,79596,53064,75174,53064,78122,51590,78122,50116,76648,51590,76648,51590,53064,79596,76648,51590,51590,76648,78122,53064,53064,75174,75174,51590,50116,75174,76648,51590,50116,78122,76648,26532,79596,76648,53064,53064,73700,79596,53064,48642,78122,75174,48642,51590,78122,78122,53064,53064,78122,53064,79596,50116,50116,79596,79596,26532,79596,79596,53064,53064,79596,50116,78122,50116,78122,53064,72226,53064,76648,53064,78122,51590,51590,76648,78122,53064,53064,78122,73700,51590,53064,72226,76648,50116,51590,78122,78122,26532,79596,79596,51590,51590,76648,51590,79596,51590,76648,50116,78122,51590,78122,50116,76648,53064,51590,79596,76648,53064,63382,
140.117.11.7_19.19.19.39,100562,0,36850,0,0,264574,108064,53064,79596,72226,53064,50116,79596,76648,53064,45694,79596,66330,54538,73700,53064,76648,51590,72226,48642,76648,76648,53064,50116,73700,78122,50116,50116,79596,79596,26532,76648,76648,72226,47168,51590,76648,78122,51590,51590,76648,72226,50116,75174,51590,78122,51590,51590,78122,76648,53064,51590,78122,76648,51590,53064,79596,51590,51590,79596,51590,78122,51590,79596,47168,79596,50116,78122,50116,75174,48642,76648,53064,76648,48642,76648,53064,76648,51590,76648,48642,76648,51590,78122,53064,76648,53064,53064,79596,78122,51590,48642,67804,79596,51590,53064,79596,79596,26532,78122,73700,72226,48642,51590,76648,75174,48642,53064,78122,78122,53064,51590,78122,76648,26532,79596,75174,66330,51590,53064,78122,76648,51590,50116,79596,76648,51590,51590,75174,51590,51590,79596,79596,53064,51590,79596,51590,78122,51590,53064,76648,76648,50116,53064,78122,78122,51590,53064,76648,73700,53064,51590,76648,76648,50116,51590,78122,53064,50116,78122,76648,51590,51590,25058,20636,171612,51590,70752,78122,66330,63382,45694,79596,70752,58960,51590,75174,57486,45694,78122,53064,75174,54538,79596,53064,73700,56012,53064,78122,76648,51590,53064,75174,78122,51590,51590,79596,51590,50116,76648,79596,51590,51590,78122,53064,78122,51590,75174,73700,51590,53064,76648,51590,76648,48642,73700,78122,50116,51590,75174,78122,51590,53064,75174,53064,78122,53064,78122,51590,78122,53064,53064,78122,75174,53064,50116,78122,51590,53064,72226,79596,51590,51590,79596,78122,51590,53064,76648,73700,51590,51590,72226,78122,51590,51590,75174,76648,70752,25058,76648,79596,50116,73700,47168,76648,76648,51590,53064,75174,56012,70752,51590,75174,79596,26532,76648,79596,50116,51590,73700,75174,78122,51590,51590,78122,50116,75174,51590,78122,53064,53064,79596,66330,73700,53064,
