117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.173024,very-weak
122.152.116.24_19.19.19.20.out.average,0.072411,very-weak
130.133.3.130_19.19.19.12.out.average,0.083180,very-weak
130.161.131.20_19.19.19.21.out.average,-0.004627,very-weak
130.206.1.5_19.19.19.35.out.average,0.006192,very-weak
130.225.254.116_19.19.19.8.out.average,-0.018333,very-weak
130.236.254.50_19.19.19.37.out.average,0.085035,very-weak
130.75.2.22_19.19.19.13.out.average,0.081829,very-weak
137.189.4.14_19.19.19.15.out.average,-0.007510,very-weak
140.117.11.7_19.19.19.39.out.average,0.053866,very-weak
140.128.9.18_19.19.19.38.out.average,0.026599,very-weak
141.217.0.199_19.19.19.47.out.average,0.016478,very-weak
147.102.222.211_19.19.19.14.out.average,-0.082805,very-weak
149.20.37.36_19.19.19.22.out.average,-0.072500,very-weak
153.19.251.225_19.19.19.28.out.average,0.039296,very-weak
155.210.4.101_19.19.19.34.out.average,-0.054398,very-weak
162.213.3.248_19.19.19.49.out.average,0.039248,very-weak
163.1.160.163_19.19.19.46.out.average,0.052690,very-weak
163.178.174.25_19.19.19.6.out.average,-0.029381,very-weak
185.87.121.190_19.19.19.41.out.average,-0.024539,very-weak
192.38.78.162_19.19.19.7.out.average,0.087472,very-weak
193.136.164.6_19.19.19.29.out.average,0.045422,very-weak
193.166.3.3_19.19.19.9.out.average,-0.017483,very-weak
193.6.176.62_19.19.19.16.out.average,-0.055364,very-weak
194.105.226.20_19.19.19.17.out.average,-0.033582,very-weak
194.116.84.15_19.19.19.18.out.average,-0.003564,very-weak
194.2.0.36_19.19.19.10.out.average,0.036328,very-weak
195.14.50.21_19.19.19.32.out.average,-0.029489,very-weak
202.28.209.254_19.19.19.40.out.average,0.048053,very-weak
202.38.97.230_19.19.19.4.out.average,0.015148,very-weak
202.8.44.105_19.19.19.23.out.average,0.032730,very-weak
202.90.159.172_19.19.19.25.out.average,0.029504,very-weak
203.0.178.32_19.19.19.1.out.average,0.012600,very-weak
203.178.132.80_19.19.19.19.out.average,0.070546,very-weak
212.110.161.69_19.19.19.45.out.average,0.057803,very-weak
212.191.2.18_19.19.19.26.out.average,0.229961,weak
212.191.2.18_19.19.19.27.out.average,0.013865,very-weak
212.47.239.32_19.19.19.11.out.average,0.077525,very-weak
213.166.187.92_19.19.19.36.out.average,-0.030259,very-weak
213.229.119.169_19.19.19.44.out.average,0.104778,very-weak
219.216.128.25_19.19.19.5.out.average,0.013443,very-weak
23.79.234.240_19.19.19.48.out.average,0.084272,very-weak
31.193.177.85_19.19.19.2.out.average,-0.004154,very-weak
5.101.158.166_19.19.19.31.out.average,-0.049704,very-weak
58.28.25.150_19.19.19.24.out.average,-0.083995,very-weak
62.44.96.38_19.19.19.3.out.average,0.068284,very-weak
78.154.171.62_19.19.19.43.out.average,0.018617,very-weak
78.96.7.8_19.19.19.30.out.average,0.013044,very-weak
95.173.191.11_19.19.19.42.out.average,0.017580,very-weak
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,0.032251,very-weak
122.152.116.24_19.19.19.20.out.average,0.310768,weak
130.133.3.130_19.19.19.12.out.average,-0.012673,very-weak
130.161.131.20_19.19.19.21.out.average,-0.037373,very-weak
130.206.1.5_19.19.19.35.out.average,-0.002507,very-weak
130.225.254.116_19.19.19.8.out.average,0.028321,very-weak
130.236.254.50_19.19.19.37.out.average,-0.073979,very-weak
130.75.2.22_19.19.19.13.out.average,-0.046360,very-weak
137.189.4.14_19.19.19.15.out.average,-0.023528,very-weak
140.117.11.7_19.19.19.39.out.average,-0.011273,very-weak
140.128.9.18_19.19.19.38.out.average,0.055011,very-weak
141.217.0.199_19.19.19.47.out.average,0.042283,very-weak
147.102.222.211_19.19.19.14.out.average,0.003180,very-weak
149.20.37.36_19.19.19.22.out.average,-0.057760,very-weak
153.19.251.225_19.19.19.28.out.average,0.095798,very-weak
155.210.4.101_19.19.19.34.out.average,0.036162,very-weak
162.213.3.248_19.19.19.49.out.average,-0.015074,very-weak
163.1.160.163_19.19.19.46.out.average,0.011256,very-weak
163.178.174.25_19.19.19.6.out.average,-0.041379,very-weak
185.87.121.190_19.19.19.41.out.average,0.109176,very-weak
192.38.78.162_19.19.19.7.out.average,0.099908,very-weak
193.136.164.6_19.19.19.29.out.average,0.063426,very-weak
193.166.3.3_19.19.19.9.out.average,0.067430,very-weak
193.6.176.62_19.19.19.16.out.average,0.002381,very-weak
194.105.226.20_19.19.19.17.out.average,0.136093,very-weak
194.116.84.15_19.19.19.18.out.average,0.040424,very-weak
194.2.0.36_19.19.19.10.out.average,-0.057688,very-weak
195.14.50.21_19.19.19.32.out.average,0.050402,very-weak
202.28.209.254_19.19.19.40.out.average,-0.094679,very-weak
202.38.97.230_19.19.19.4.out.average,0.000655,very-weak
202.8.44.105_19.19.19.23.out.average,0.029150,very-weak
202.90.159.172_19.19.19.25.out.average,-0.012906,very-weak
203.0.178.32_19.19.19.1.out.average,-0.047485,very-weak
203.178.132.80_19.19.19.19.out.average,-0.003399,very-weak
212.110.161.69_19.19.19.45.out.average,0.105728,very-weak
212.191.2.18_19.19.19.26.out.average,0.025513,very-weak
212.191.2.18_19.19.19.27.out.average,-0.019199,very-weak
212.47.239.32_19.19.19.11.out.average,0.048432,very-weak
213.166.187.92_19.19.19.36.out.average,0.066716,very-weak
213.229.119.169_19.19.19.44.out.average,-0.087215,very-weak
219.216.128.25_19.19.19.5.out.average,-0.056594,very-weak
23.79.234.240_19.19.19.48.out.average,0.056735,very-weak
31.193.177.85_19.19.19.2.out.average,0.076019,very-weak
5.101.158.166_19.19.19.31.out.average,0.049051,very-weak
58.28.25.150_19.19.19.24.out.average,-0.110306,very-weak
62.44.96.38_19.19.19.3.out.average,-0.008125,very-weak
78.154.171.62_19.19.19.43.out.average,-0.043166,very-weak
78.96.7.8_19.19.19.30.out.average,-0.059545,very-weak
95.173.191.11_19.19.19.42.out.average,0.039802,very-weak
130.133.3.130_19.19.19.12.out.average, 
117.120.2.17_19.19.19.33.out.average,0.036941,very-weak
122.152.116.24_19.19.19.20.out.average,-0.006631,very-weak
130.133.3.130_19.19.19.12.out.average,0.283729,weak
130.161.131.20_19.19.19.21.out.average,0.060773,very-weak
130.206.1.5_19.19.19.35.out.average,-0.003380,very-weak
130.225.254.116_19.19.19.8.out.average,-0.000117,very-weak
130.236.254.50_19.19.19.37.out.average,0.004117,very-weak
130.75.2.22_19.19.19.13.out.average,-0.056021,very-weak
137.189.4.14_19.19.19.15.out.average,-0.045251,very-weak
140.117.11.7_19.19.19.39.out.average,0.026151,very-weak
140.128.9.18_19.19.19.38.out.average,0.081012,very-weak
141.217.0.199_19.19.19.47.out.average,0.010308,very-weak
147.102.222.211_19.19.19.14.out.average,0.007844,very-weak
149.20.37.36_19.19.19.22.out.average,-0.023026,very-weak
153.19.251.225_19.19.19.28.out.average,-0.052298,very-weak
155.210.4.101_19.19.19.34.out.average,-0.041814,very-weak
162.213.3.248_19.19.19.49.out.average,0.025642,very-weak
163.1.160.163_19.19.19.46.out.average,-0.056191,very-weak
163.178.174.25_19.19.19.6.out.average,0.045232,very-weak
185.87.121.190_19.19.19.41.out.average,0.079301,very-weak
192.38.78.162_19.19.19.7.out.average,0.048206,very-weak
193.136.164.6_19.19.19.29.out.average,0.060660,very-weak
193.166.3.3_19.19.19.9.out.average,-0.044889,very-weak
193.6.176.62_19.19.19.16.out.average,0.011375,very-weak
194.105.226.20_19.19.19.17.out.average,0.053239,very-weak
194.116.84.15_19.19.19.18.out.average,0.035602,very-weak
194.2.0.36_19.19.19.10.out.average,0.010987,very-weak
195.14.50.21_19.19.19.32.out.average,0.084858,very-weak
202.28.209.254_19.19.19.40.out.average,0.033744,very-weak
202.38.97.230_19.19.19.4.out.average,0.013577,very-weak
202.8.44.105_19.19.19.23.out.average,0.033512,very-weak
202.90.159.172_19.19.19.25.out.average,0.031756,very-weak
203.0.178.32_19.19.19.1.out.average,0.031884,very-weak
203.178.132.80_19.19.19.19.out.average,0.007375,very-weak
212.110.161.69_19.19.19.45.out.average,0.029588,very-weak
212.191.2.18_19.19.19.26.out.average,0.011571,very-weak
212.191.2.18_19.19.19.27.out.average,-0.078728,very-weak
212.47.239.32_19.19.19.11.out.average,0.086124,very-weak
213.166.187.92_19.19.19.36.out.average,0.064637,very-weak
213.229.119.169_19.19.19.44.out.average,0.107064,very-weak
219.216.128.25_19.19.19.5.out.average,0.037344,very-weak
23.79.234.240_19.19.19.48.out.average,-0.112788,very-weak
31.193.177.85_19.19.19.2.out.average,0.019152,very-weak
5.101.158.166_19.19.19.31.out.average,-0.017937,very-weak
58.28.25.150_19.19.19.24.out.average,-0.112382,very-weak
62.44.96.38_19.19.19.3.out.average,-0.011198,very-weak
78.154.171.62_19.19.19.43.out.average,0.093780,very-weak
78.96.7.8_19.19.19.30.out.average,0.062037,very-weak
95.173.191.11_19.19.19.42.out.average,-0.050419,very-weak
130.161.131.20_19.19.19.21.out.average, 
117.120.2.17_19.19.19.33.out.average,0.157084,very-weak
122.152.116.24_19.19.19.20.out.average,0.152137,very-weak
130.133.3.130_19.19.19.12.out.average,0.124889,very-weak
130.161.131.20_19.19.19.21.out.average,0.260041,weak
130.206.1.5_19.19.19.35.out.average,-0.000633,very-weak
130.225.254.116_19.19.19.8.out.average,-0.016377,very-weak
130.236.254.50_19.19.19.37.out.average,0.021921,very-weak
130.75.2.22_19.19.19.13.out.average,0.149103,very-weak
137.189.4.14_19.19.19.15.out.average,0.165183,very-weak
140.117.11.7_19.19.19.39.out.average,0.142585,very-weak
140.128.9.18_19.19.19.38.out.average,0.132788,very-weak
141.217.0.199_19.19.19.47.out.average,0.069598,very-weak
147.102.222.211_19.19.19.14.out.average,-0.005539,very-weak
149.20.37.36_19.19.19.22.out.average,0.014760,very-weak
153.19.251.225_19.19.19.28.out.average,-0.028856,very-weak
155.210.4.101_19.19.19.34.out.average,0.041889,very-weak
162.213.3.248_19.19.19.49.out.average,-0.059640,very-weak
163.1.160.163_19.19.19.46.out.average,0.066770,very-weak
163.178.174.25_19.19.19.6.out.average,-0.124872,very-weak
185.87.121.190_19.19.19.41.out.average,0.147615,very-weak
192.38.78.162_19.19.19.7.out.average,0.216317,weak
193.136.164.6_19.19.19.29.out.average,0.059032,very-weak
193.166.3.3_19.19.19.9.out.average,0.041641,very-weak
193.6.176.62_19.19.19.16.out.average,-0.014913,very-weak
194.105.226.20_19.19.19.17.out.average,0.072109,very-weak
194.116.84.15_19.19.19.18.out.average,-0.058578,very-weak
194.2.0.36_19.19.19.10.out.average,-0.021605,very-weak
195.14.50.21_19.19.19.32.out.average,0.021058,very-weak
202.28.209.254_19.19.19.40.out.average,0.070119,very-weak
202.38.97.230_19.19.19.4.out.average,0.064398,very-weak
202.8.44.105_19.19.19.23.out.average,-0.039199,very-weak
202.90.159.172_19.19.19.25.out.average,0.001145,very-weak
203.0.178.32_19.19.19.1.out.average,0.057156,very-weak
203.178.132.80_19.19.19.19.out.average,0.015732,very-weak
212.110.161.69_19.19.19.45.out.average,0.074216,very-weak
212.191.2.18_19.19.19.26.out.average,0.106017,very-weak
212.191.2.18_19.19.19.27.out.average,0.035065,very-weak
212.47.239.32_19.19.19.11.out.average,0.093370,very-weak
213.166.187.92_19.19.19.36.out.average,0.089478,very-weak
213.229.119.169_19.19.19.44.out.average,0.064450,very-weak
219.216.128.25_19.19.19.5.out.average,0.070940,very-weak
23.79.234.240_19.19.19.48.out.average,0.025216,very-weak
31.193.177.85_19.19.19.2.out.average,-0.122610,very-weak
5.101.158.166_19.19.19.31.out.average,0.012076,very-weak
58.28.25.150_19.19.19.24.out.average,-0.104347,very-weak
62.44.96.38_19.19.19.3.out.average,0.061698,very-weak
78.154.171.62_19.19.19.43.out.average,0.063912,very-weak
78.96.7.8_19.19.19.30.out.average,0.092590,very-weak
95.173.191.11_19.19.19.42.out.average,0.153188,very-weak
130.206.1.5_19.19.19.35.out.average, 
117.120.2.17_19.19.19.33.out.average,0.078867,very-weak
122.152.116.24_19.19.19.20.out.average,-0.027028,very-weak
130.133.3.130_19.19.19.12.out.average,-0.043762,very-weak
130.161.131.20_19.19.19.21.out.average,0.003435,very-weak
130.206.1.5_19.19.19.35.out.average,0.248437,weak
130.225.254.116_19.19.19.8.out.average,-0.057909,very-weak
130.236.254.50_19.19.19.37.out.average,-0.001592,very-weak
130.75.2.22_19.19.19.13.out.average,0.089222,very-weak
137.189.4.14_19.19.19.15.out.average,-0.107379,very-weak
140.117.11.7_19.19.19.39.out.average,0.074392,very-weak
140.128.9.18_19.19.19.38.out.average,-0.047845,very-weak
141.217.0.199_19.19.19.47.out.average,-0.082619,very-weak
147.102.222.211_19.19.19.14.out.average,0.027563,very-weak
149.20.37.36_19.19.19.22.out.average,0.032725,very-weak
153.19.251.225_19.19.19.28.out.average,0.032831,very-weak
155.210.4.101_19.19.19.34.out.average,-0.093638,very-weak
162.213.3.248_19.19.19.49.out.average,0.021178,very-weak
163.1.160.163_19.19.19.46.out.average,0.040112,very-weak
163.178.174.25_19.19.19.6.out.average,-0.047637,very-weak
185.87.121.190_19.19.19.41.out.average,0.028430,very-weak
192.38.78.162_19.19.19.7.out.average,0.054394,very-weak
193.136.164.6_19.19.19.29.out.average,-0.010770,very-weak
193.166.3.3_19.19.19.9.out.average,-0.000195,very-weak
193.6.176.62_19.19.19.16.out.average,-0.040727,very-weak
194.105.226.20_19.19.19.17.out.average,-0.006902,very-weak
194.116.84.15_19.19.19.18.out.average,0.051705,very-weak
194.2.0.36_19.19.19.10.out.average,0.052558,very-weak
