117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,1.000000,very-strong
122.152.116.24_19.19.19.20.out.average,0.290896,weak
130.133.3.130_19.19.19.12.out.average,0.174082,very-weak
130.161.131.20_19.19.19.21.out.average,0.252103,weak
130.206.1.5_19.19.19.35.out.average,0.253247,weak
130.225.254.116_19.19.19.8.out.average,0.251600,weak
130.236.254.50_19.19.19.37.out.average,0.390978,moderate
130.75.2.22_19.19.19.13.out.average,0.174726,very-weak
137.189.4.14_19.19.19.15.out.average,0.249933,weak
140.117.11.7_19.19.19.39.out.average,0.306722,weak
140.128.9.18_19.19.19.38.out.average,0.303514,weak
141.217.0.199_19.19.19.47.out.average,0.207811,weak
147.102.222.211_19.19.19.14.out.average,0.349019,weak
149.20.37.36_19.19.19.22.out.average,0.279632,weak
153.19.251.225_19.19.19.28.out.average,0.194311,weak
155.210.4.101_19.19.19.34.out.average,0.305491,weak
162.213.3.248_19.19.19.49.out.average,0.223617,weak
163.1.221.67_19.19.19.46.out.average,0.222652,weak
163.178.174.25_19.19.19.6.out.average,0.238653,weak
185.87.121.190_19.19.19.41.out.average,0.222413,weak
192.38.78.162_19.19.19.7.out.average,0.136854,very-weak
193.136.164.6_19.19.19.29.out.average,0.352282,weak
193.166.3.3_19.19.19.9.out.average,0.190446,weak
193.6.176.62_19.19.19.16.out.average,0.287116,weak
194.105.226.20_19.19.19.17.out.average,0.292139,weak
194.116.84.15_19.19.19.18.out.average,0.305493,weak
194.2.0.36_19.19.19.10.out.average,0.255192,weak
195.14.50.21_19.19.19.32.out.average,0.282854,weak
202.28.209.254_19.19.19.40.out.average,0.300651,weak
202.38.97.230_19.19.19.4.out.average,0.317028,weak
202.8.44.105_19.19.19.23.out.average,0.102426,very-weak
202.90.159.172_19.19.19.25.out.average,0.265290,weak
203.0.178.32_19.19.19.1.out.average,0.229544,weak
203.178.132.80_19.19.19.19.out.average,0.385751,weak
212.110.161.69_19.19.19.45.out.average,0.216826,weak
212.191.2.18_19.19.19.26.out.average,0.328735,weak
212.191.2.18_19.19.19.27.out.average,0.265037,weak
